account_id,status,injected_themes
ACC-1000,active,champion_departure
ACC-1001,active,unresolved_escalation
ACC-1002,churned,champion_departure|disengagement|technical_friction
ACC-1003,active,budget_scrutiny|disengagement|low_adoption
ACC-1004,churned,budget_scrutiny|competitor_evaluation
ACC-1005,active,technical_friction
ACC-1006,churned,budget_scrutiny|competitor_evaluation|technical_friction|unresolved_escalation
ACC-1007,churned,champion_departure|low_adoption|technical_friction
ACC-1008,churned,champion_departure|disengagement
ACC-1009,active,
ACC-1010,active,
ACC-1011,active,disengagement|unresolved_escalation
ACC-1012,active,disengagement|technical_friction
ACC-1013,active,competitor_evaluation|technical_friction
ACC-1014,active,champion_departure|technical_friction
ACC-1015,active,champion_departure|technical_friction
ACC-1016,active,
ACC-1017,churned,champion_departure|competitor_evaluation
ACC-1018,churned,champion_departure|technical_friction|unresolved_escalation
ACC-1019,active,
ACC-1020,active,budget_scrutiny|technical_friction
ACC-1021,active,low_adoption
ACC-1022,active,unresolved_escalation
ACC-1023,active,disengagement|low_adoption
ACC-1024,active,disengagement
ACC-1025,active,champion_departure
ACC-1026,active,technical_friction
ACC-1027,active,budget_scrutiny|champion_departure
ACC-1028,active,
ACC-1029,active,budget_scrutiny|competitor_evaluation|low_adoption
ACC-1030,active,
ACC-1031,active,technical_friction
ACC-1032,active,
ACC-1033,active,competitor_evaluation
ACC-1034,active,low_adoption
ACC-1035,active,champion_departure|unresolved_escalation
ACC-1036,active,budget_scrutiny|unresolved_escalation
ACC-1037,active,champion_departure|competitor_evaluation
ACC-1038,active,
ACC-1039,active,technical_friction
ACC-1040,churned,low_adoption|unresolved_escalation
ACC-1041,active,competitor_evaluation|disengagement
ACC-1042,active,low_adoption|technical_friction
ACC-1043,active,
ACC-1044,churned,champion_departure|low_adoption|technical_friction
ACC-1045,churned,low_adoption|technical_friction
ACC-1046,active,
ACC-1047,active,competitor_evaluation|technical_friction|unresolved_escalation
ACC-1048,churned,champion_departure|disengagement
ACC-1049,active,champion_departure
ACC-1050,active,low_adoption|technical_friction
ACC-1051,active,
ACC-1052,churned,competitor_evaluation|technical_friction|unresolved_escalation
ACC-1053,active,champion_departure|disengagement|low_adoption
ACC-1054,active,technical_friction
ACC-1055,active,
ACC-1056,churned,budget_scrutiny|competitor_evaluation|disengagement|technical_friction
ACC-1057,active,competitor_evaluation|disengagement
ACC-1058,churned,champion_departure|disengagement|technical_friction
ACC-1059,active,
ACC-1060,active,champion_departure|unresolved_escalation
ACC-1061,active,disengagement
ACC-1062,active,competitor_evaluation|low_adoption|unresolved_escalation
ACC-1063,active,champion_departure|disengagement
ACC-1064,churned,budget_scrutiny|disengagement|low_adoption|technical_friction
ACC-1065,active,unresolved_escalation
ACC-1066,active,low_adoption
ACC-1067,churned,competitor_evaluation|disengagement|technical_friction|unresolved_escalation
ACC-1068,active,budget_scrutiny|unresolved_escalation
ACC-1069,active,competitor_evaluation|technical_friction
ACC-1070,active,disengagement
ACC-1071,active,
ACC-1072,active,
ACC-1073,active,
ACC-1074,active,budget_scrutiny
ACC-1075,active,
ACC-1076,churned,champion_departure|competitor_evaluation|disengagement|unresolved_escalation
ACC-1077,active,
ACC-1078,active,budget_scrutiny|disengagement|technical_friction
ACC-1079,active,budget_scrutiny|competitor_evaluation
ACC-1080,churned,budget_scrutiny|champion_departure|competitor_evaluation
ACC-1081,active,unresolved_escalation
ACC-1082,churned,budget_scrutiny|champion_departure|competitor_evaluation|disengagement
ACC-1083,active,low_adoption
ACC-1084,active,
ACC-1085,active,champion_departure|competitor_evaluation|unresolved_escalation
ACC-1086,active,
ACC-1087,active,champion_departure|low_adoption
ACC-1088,active,technical_friction
ACC-1089,active,disengagement|technical_friction
ACC-1090,churned,budget_scrutiny|champion_departure|low_adoption|technical_friction
ACC-1091,active,budget_scrutiny
ACC-1092,churned,champion_departure|disengagement
ACC-1093,active,competitor_evaluation
ACC-1094,active,disengagement|technical_friction
ACC-1095,active,budget_scrutiny
ACC-1096,active,budget_scrutiny|low_adoption
ACC-1097,churned,disengagement|technical_friction|unresolved_escalation
ACC-1098,churned,competitor_evaluation|disengagement|low_adoption|technical_friction
ACC-1099,active,disengagement|unresolved_escalation
ACC-1100,active,
ACC-1101,active,low_adoption|unresolved_escalation
ACC-1102,active,disengagement|low_adoption|technical_friction
ACC-1103,active,
ACC-1104,active,
ACC-1105,active,disengagement|technical_friction
ACC-1106,active,disengagement
ACC-1107,active,
ACC-1108,churned,budget_scrutiny|champion_departure|disengagement|low_adoption
ACC-1109,active,
ACC-1110,active,competitor_evaluation|low_adoption
ACC-1111,active,
ACC-1112,active,competitor_evaluation|unresolved_escalation
ACC-1113,active,champion_departure|unresolved_escalation
ACC-1114,active,
ACC-1115,churned,low_adoption|technical_friction
ACC-1116,active,
ACC-1117,active,budget_scrutiny|champion_departure
ACC-1118,active,
ACC-1119,active,champion_departure|competitor_evaluation
ACC-1120,active,budget_scrutiny|champion_departure|unresolved_escalation
ACC-1121,active,
ACC-1122,churned,champion_departure|competitor_evaluation|disengagement
ACC-1123,active,
ACC-1124,churned,champion_departure|competitor_evaluation|low_adoption|unresolved_escalation
ACC-1125,active,low_adoption
ACC-1126,active,competitor_evaluation
ACC-1127,active,champion_departure
ACC-1128,active,budget_scrutiny|disengagement|low_adoption
ACC-1129,churned,budget_scrutiny|champion_departure|competitor_evaluation
ACC-1130,active,
ACC-1131,active,
ACC-1132,active,
ACC-1133,active,
ACC-1134,active,champion_departure|competitor_evaluation|disengagement
ACC-1135,churned,budget_scrutiny|champion_departure|competitor_evaluation
ACC-1136,active,technical_friction
ACC-1137,active,
ACC-1138,active,
ACC-1139,active,champion_departure|low_adoption
ACC-1140,active,technical_friction
ACC-1141,active,
ACC-1142,churned,disengagement|low_adoption|technical_friction|unresolved_escalation
ACC-1143,active,
ACC-1144,active,competitor_evaluation|technical_friction
ACC-1145,active,low_adoption
ACC-1146,churned,champion_departure|competitor_evaluation|disengagement
ACC-1147,active,competitor_evaluation|disengagement
ACC-1148,active,champion_departure|competitor_evaluation|technical_friction
ACC-1149,active,
ACC-1150,active,technical_friction
ACC-1151,active,low_adoption
ACC-1152,active,
ACC-1153,active,
ACC-1154,active,low_adoption
ACC-1155,churned,budget_scrutiny|disengagement|unresolved_escalation
ACC-1156,active,low_adoption
ACC-1157,active,
ACC-1158,churned,disengagement|unresolved_escalation
ACC-1159,churned,budget_scrutiny|champion_departure|disengagement|low_adoption
ACC-1160,active,
ACC-1161,active,technical_friction
ACC-1162,active,competitor_evaluation
ACC-1163,active,champion_departure|technical_friction
ACC-1164,churned,champion_departure|disengagement|unresolved_escalation
ACC-1165,active,champion_departure
ACC-1166,active,
ACC-1167,active,technical_friction
ACC-1168,active,
ACC-1169,churned,champion_departure|disengagement|technical_friction|unresolved_escalation
ACC-1170,active,
ACC-1171,active,competitor_evaluation|technical_friction
ACC-1172,active,competitor_evaluation
ACC-1173,active,competitor_evaluation|disengagement
ACC-1174,churned,budget_scrutiny|competitor_evaluation|unresolved_escalation
ACC-1175,active,budget_scrutiny|competitor_evaluation
ACC-1176,active,budget_scrutiny|champion_departure|competitor_evaluation
ACC-1177,active,budget_scrutiny|competitor_evaluation
ACC-1178,active,
ACC-1179,active,champion_departure|technical_friction
ACC-1180,active,
ACC-1181,churned,champion_departure|competitor_evaluation|unresolved_escalation
ACC-1182,active,disengagement
ACC-1183,active,competitor_evaluation
ACC-1184,active,
ACC-1185,active,
ACC-1186,active,technical_friction
ACC-1187,churned,competitor_evaluation|unresolved_escalation
ACC-1188,active,
ACC-1189,active,competitor_evaluation
ACC-1190,active,
ACC-1191,active,budget_scrutiny|disengagement|low_adoption
ACC-1192,active,low_adoption
ACC-1193,active,
ACC-1194,active,budget_scrutiny|low_adoption
ACC-1195,active,budget_scrutiny|champion_departure|disengagement
ACC-1196,active,budget_scrutiny
ACC-1197,active,budget_scrutiny
ACC-1198,active,budget_scrutiny
ACC-1199,active,low_adoption|technical_friction
ACC-1200,active,
ACC-1201,active,
ACC-1202,active,
ACC-1203,active,
ACC-1204,churned,budget_scrutiny|champion_departure
ACC-1205,active,low_adoption|technical_friction
ACC-1206,active,technical_friction
ACC-1207,active,budget_scrutiny|technical_friction|unresolved_escalation
ACC-1208,active,budget_scrutiny
ACC-1209,churned,competitor_evaluation|disengagement|technical_friction
ACC-1210,active,
ACC-1211,churned,budget_scrutiny|champion_departure|competitor_evaluation|unresolved_escalation
ACC-1212,active,
ACC-1213,active,competitor_evaluation
ACC-1214,churned,competitor_evaluation|disengagement|low_adoption|unresolved_escalation
ACC-1215,active,budget_scrutiny
ACC-1216,active,competitor_evaluation|disengagement|technical_friction
ACC-1217,active,competitor_evaluation|technical_friction
ACC-1218,active,
