account_id,account_name,segment,industry,arr,seats_licensed,seats_active,contract_start_date,renewal_date,tenure_months,csm,health_score,status,churn_date,crm_churn_reason
ACC-1000,Summit Ridge Systems,SMB,Manufacturing,6800,9,5,2025-02-20,2027-06-10,19,Brittney Cole,50,active,,
ACC-1001,Oakline Holdings,Mid-Market,Retail,31900,186,98,2023-07-01,2027-04-11,39,Brittney Cole,59,active,,
ACC-1002,Larkspur Labs,Enterprise,Media,112700,449,345,2024-08-24,2026-03-01,25,Brittney Cole,60,churned,2026-03-01,Price
ACC-1003,Ferncliff Industries,SMB,Logistics,18100,26,4,2023-03-03,2027-09-08,43,Caick Moreira,49,active,,
ACC-1004,Clearpoint Capital,Mid-Market,Healthcare,70000,61,22,2023-02-01,2027-01-11,44,Owen Trask,87,active,,
ACC-1005,Pinecrest Group,Mid-Market,Manufacturing,79400,183,77,2024-12-22,2027-01-11,21,Nuala Byrne,88,active,,
ACC-1006,Amberline Labs,Enterprise,Education,360400,382,344,2023-06-01,2027-05-11,40,Nuala Byrne,70,active,,
ACC-1007,Pinecrest Robotics,Mid-Market,Healthcare,45700,169,98,2023-05-02,2027-01-11,41,Brittney Cole,53,active,,
ACC-1008,Vantage Media,Mid-Market,Healthcare,42900,139,101,2024-05-26,2027-06-10,28,Leila Haddad,45,active,,
ACC-1009,Summit Ridge Industries,Mid-Market,Retail,20200,87,80,2023-12-28,2026-12-12,33,Leila Haddad,77,active,,
ACC-1010,Quarry Group,Mid-Market,Retail,75100,173,162,2023-08-30,2026-10-13,37,Nuala Byrne,52,active,,
ACC-1011,Meridian Health,SMB,Media,19600,37,20,2026-01-16,2026-12-12,8,Nuala Byrne,87,active,,
ACC-1012,Wayfarer Technologies,SMB,Media,6400,22,10,2022-10-04,2027-08-09,48,Shairyar Khan,86,active,,
ACC-1013,Oakline Health,Mid-Market,Logistics,53200,170,116,2023-05-02,2026-11-12,41,Brittney Cole,90,active,,
ACC-1014,Ironvale Holdings,Mid-Market,Logistics,49100,158,132,2022-12-03,2025-11-05,46,Brittney Cole,52,churned,2025-11-05,Price
ACC-1015,Stonebridge Media,Mid-Market,Healthcare,60400,185,81,2026-02-15,2027-04-11,7,Nuala Byrne,91,active,,
ACC-1016,Eastbrook Software,Enterprise,Media,169100,315,263,2025-06-20,2026-11-12,15,Brittney Cole,73,active,,
ACC-1017,Northgate Health,SMB,Manufacturing,5800,34,9,2025-02-20,2027-04-11,19,Shairyar Khan,48,active,,
ACC-1018,Harborview Media,SMB,Manufacturing,14300,34,26,2023-07-01,2026-03-26,39,Leila Haddad,59,churned,2026-03-26,Other
ACC-1019,Halcyon Dynamics,Mid-Market,Logistics,29400,150,73,2023-08-30,2026-05-21,37,Owen Trask,37,churned,2026-05-21,Competitor
ACC-1020,Meridian Media,SMB,Retail,11900,19,4,2023-06-01,2025-08-23,40,Shairyar Khan,83,churned,2025-08-23,Merger/Acquisition
ACC-1021,Northgate Software,Mid-Market,Energy,79800,38,9,2023-06-01,2027-06-10,40,Brittney Cole,61,active,,
ACC-1022,Harborview Group,Mid-Market,Media,62200,176,27,2023-07-31,2027-08-09,38,Caick Moreira,78,active,,
ACC-1023,Silverbrook Analytics,SMB,Retail,5600,21,6,2023-07-01,2027-09-08,39,Owen Trask,66,active,,
ACC-1024,Halcyon Health,Mid-Market,Education,22600,105,30,2024-12-22,2027-08-09,21,Owen Trask,61,active,,
ACC-1025,Northgate Analytics,Enterprise,Retail,369300,618,159,2022-10-04,2026-02-16,48,Caick Moreira,49,churned,2026-02-16,Price
ACC-1026,Redstone Financial,SMB,Logistics,16300,29,27,2024-07-25,2027-09-08,26,Nuala Byrne,54,active,,
ACC-1027,Brightwater Group,SMB,Financial Services,16300,29,10,2024-08-24,2027-09-08,25,Leila Haddad,96,active,,
ACC-1028,Kestrel Dynamics,Mid-Market,Retail,41000,78,38,2023-12-28,2027-08-09,33,Brittney Cole,57,active,,
ACC-1029,Cinderpath Capital,SMB,Professional Services,8600,4,1,2023-07-31,2026-04-13,38,Caick Moreira,38,churned,2026-04-13,Budget cut
ACC-1030,Cinderpath Analytics,Mid-Market,Media,31400,31,29,2023-06-01,2026-10-13,40,Leila Haddad,78,active,,
ACC-1031,Wayfarer Health,SMB,Professional Services,13600,10,4,2024-08-24,2027-02-10,25,Caick Moreira,77,active,,
ACC-1032,Ferncliff Partners,Enterprise,Professional Services,380900,753,477,2022-12-03,2026-12-12,46,Owen Trask,84,active,,
ACC-1033,Harborview Technologies,Mid-Market,Education,56400,102,33,2023-05-02,2027-05-11,41,Leila Haddad,88,active,,
ACC-1034,Harborview Holdings,SMB,Manufacturing,8700,18,5,2023-03-03,2027-01-11,43,Brittney Cole,96,active,,
ACC-1035,Ironvale Software,Mid-Market,Manufacturing,54500,198,54,2023-02-01,2027-04-11,44,Brittney Cole,60,active,,
ACC-1036,Cobalt Holdings,Mid-Market,Media,35000,51,30,2023-07-01,2027-05-11,39,Owen Trask,87,active,,
ACC-1037,Cinderpath Media,SMB,Logistics,10600,13,4,2023-07-01,2027-05-11,39,Leila Haddad,73,active,,
ACC-1038,Beacon Hill Financial,Mid-Market,Financial Services,62800,80,17,2026-01-16,2027-03-12,8,Nuala Byrne,79,active,,
ACC-1039,Redstone Health,Mid-Market,Manufacturing,52600,126,120,2024-08-24,2026-01-21,25,Owen Trask,59,churned,2026-01-21,
ACC-1040,Northgate Networks,Mid-Market,Logistics,71200,127,105,2024-05-26,2027-09-08,28,Shairyar Khan,79,active,,
ACC-1041,Wayfarer Dynamics,Enterprise,Financial Services,294000,877,479,2024-08-24,2026-12-12,25,Owen Trask,98,active,,
ACC-1042,Brightwater Health,Mid-Market,Professional Services,72000,66,28,2025-09-18,2026-02-11,12,Caick Moreira,78,churned,2026-02-11,Merger/Acquisition
ACC-1043,Meridian Dynamics,Enterprise,Manufacturing,96700,418,402,2023-07-31,2026-11-12,38,Brittney Cole,94,active,,
ACC-1044,Brightwater Partners,Mid-Market,Energy,60200,164,60,2023-11-28,2027-05-11,34,Nuala Byrne,89,active,,
ACC-1045,Windrow Analytics,Mid-Market,Logistics,54500,116,24,2024-10-23,2027-09-08,23,Brittney Cole,57,active,,
ACC-1046,Summit Ridge Logistics,Mid-Market,Education,59700,37,32,2024-02-26,2027-03-12,31,Brittney Cole,45,active,,
ACC-1047,Junction Partners,Mid-Market,Professional Services,77900,89,49,2023-08-30,2027-06-10,37,Leila Haddad,94,active,,
ACC-1048,Pinecrest Health,Mid-Market,Education,34600,138,60,2024-01-27,2027-08-09,32,Caick Moreira,69,active,,
ACC-1049,Redstone Networks,SMB,Professional Services,7800,20,4,2024-08-24,2027-06-10,25,Shairyar Khan,57,active,,
ACC-1050,Beacon Hill Software,SMB,Education,8000,28,18,2025-12-17,2027-02-10,9,Owen Trask,87,active,,
ACC-1051,Ferncliff Solutions,Mid-Market,Media,36300,84,35,2023-12-28,2027-09-08,33,Leila Haddad,57,active,,
ACC-1052,Redstone Dynamics,Mid-Market,Logistics,78600,154,48,2023-05-02,2026-11-12,41,Caick Moreira,98,active,,
ACC-1053,Northgate Robotics,Enterprise,Education,391800,626,556,2026-03-17,2026-12-12,6,Brittney Cole,85,active,,
ACC-1054,Harborview Dynamics,Mid-Market,Professional Services,31100,33,28,2024-08-24,2027-05-11,25,Shairyar Khan,52,active,,
ACC-1055,Halcyon Partners,Enterprise,Logistics,383700,147,117,2023-06-01,2026-11-12,40,Owen Trask,80,active,,
ACC-1056,Trellis Industries,SMB,Logistics,8200,6,5,2024-02-26,2027-09-08,31,Leila Haddad,51,active,,
ACC-1057,Meridian Group,Mid-Market,Manufacturing,24500,20,10,2023-07-01,2027-09-08,39,Nuala Byrne,83,active,,
ACC-1058,Junction Health,SMB,Logistics,16400,40,9,2025-01-21,2027-01-11,20,Leila Haddad,72,active,,
ACC-1059,Bluestem Health,Enterprise,Retail,270400,642,352,2024-10-23,2027-05-11,23,Leila Haddad,52,active,,
ACC-1060,Cinderpath Robotics,Mid-Market,Logistics,55900,130,22,2025-12-17,2027-07-10,9,Leila Haddad,61,active,,
ACC-1061,Kestrel Group,Mid-Market,Education,46500,91,88,2023-01-02,2025-10-29,45,Caick Moreira,53,churned,2025-10-29,
ACC-1062,Copperfield Analytics,SMB,Energy,10000,34,14,2024-08-24,2026-01-31,25,Brittney Cole,63,churned,2026-01-31,Other
ACC-1063,Junction Media,Enterprise,Retail,195800,834,161,2023-08-30,2027-05-11,37,Owen Trask,93,active,,
ACC-1064,Trellis Dynamics,Enterprise,Professional Services,274800,305,49,2023-02-01,2027-02-10,44,Brittney Cole,80,active,,
ACC-1065,Junction Analytics,Mid-Market,Education,49900,94,80,2025-08-19,2027-02-10,13,Nuala Byrne,71,active,,
ACC-1066,Bluestem Capital,Enterprise,Professional Services,242600,199,163,2023-04-02,2027-02-10,42,Caick Moreira,94,active,,
ACC-1067,Harborview Industries,SMB,Energy,20000,34,19,2023-05-02,2027-05-11,41,Owen Trask,79,active,,
ACC-1068,Copperfield Technologies,SMB,Education,12700,17,7,2025-02-20,2027-04-11,19,Leila Haddad,47,active,,
ACC-1069,Bluestem Dynamics,SMB,Financial Services,11500,40,6,2025-09-18,2026-07-04,12,Shairyar Khan,87,churned,2026-07-04,
ACC-1070,Alderwood Labs,Mid-Market,Energy,43800,40,18,2022-10-04,2027-08-09,48,Leila Haddad,79,active,,
ACC-1071,Kestrel Health,Mid-Market,Healthcare,75300,78,62,2022-11-03,2027-04-11,47,Shairyar Khan,51,active,,
ACC-1072,Brightwater Logistics,Mid-Market,Financial Services,37600,115,57,2026-02-15,2027-01-11,7,Nuala Byrne,78,active,,
ACC-1073,Foxglove Financial,Mid-Market,Education,28600,138,98,2023-05-02,2027-05-11,41,Caick Moreira,61,active,,
ACC-1074,Trellis Networks,SMB,Professional Services,13900,30,9,2024-10-23,2027-05-11,23,Shairyar Khan,64,active,,
ACC-1075,Foxglove Networks,Mid-Market,Manufacturing,37700,188,166,2022-10-04,2026-10-13,48,Owen Trask,81,active,,
ACC-1076,Oakline Networks,Mid-Market,Healthcare,57300,193,166,2025-05-21,2027-08-09,16,Leila Haddad,88,active,,
ACC-1077,Trellis Logistics,Mid-Market,Media,25400,95,30,2025-09-18,2027-04-11,12,Caick Moreira,56,active,,
ACC-1078,Silverbrook Dynamics,SMB,Logistics,15700,24,6,2024-11-22,2027-05-11,22,Leila Haddad,49,active,,
ACC-1079,Quarry Health,SMB,Professional Services,7500,10,7,2026-05-16,2027-08-09,4,Leila Haddad,92,active,,
ACC-1080,Oakline Dynamics,Enterprise,Retail,185000,684,581,2023-07-01,2026-11-12,39,Leila Haddad,85,active,,
ACC-1081,Tallgrass Logistics,SMB,Media,19900,10,7,2024-10-23,2025-11-22,23,Shairyar Khan,81,churned,2025-11-22,Budget cut
ACC-1082,Clearpoint Dynamics,Mid-Market,Energy,22000,114,112,2024-12-22,2026-01-09,21,Owen Trask,28,churned,2026-01-09,Other
ACC-1083,Fairhaven Analytics,SMB,Energy,4600,16,3,2023-12-28,2027-07-10,33,Nuala Byrne,46,active,,
ACC-1084,Ferncliff Technologies,Mid-Market,Financial Services,39700,57,21,2025-03-22,2027-07-10,18,Nuala Byrne,45,active,,
ACC-1085,Tallgrass Systems,Mid-Market,Healthcare,55300,24,5,2025-02-20,2026-07-29,19,Shairyar Khan,55,churned,2026-07-29,Budget cut
ACC-1086,Trellis Holdings,Mid-Market,Manufacturing,22600,188,182,2023-03-03,2027-05-11,43,Shairyar Khan,86,active,,
ACC-1087,Trellis Health,SMB,Media,13300,7,3,2024-09-23,2025-10-09,24,Caick Moreira,42,churned,2025-10-09,Price
ACC-1088,Wayfarer Analytics,SMB,Logistics,17500,38,20,2025-10-18,2027-01-11,11,Shairyar Khan,72,active,,
ACC-1089,Amberline Media,SMB,Healthcare,10300,19,17,2024-09-23,2026-12-12,24,Brittney Cole,88,active,,
ACC-1090,Quarry Partners,Mid-Market,Professional Services,77400,163,73,2023-05-02,2026-11-12,41,Leila Haddad,71,active,,
ACC-1091,Windrow Networks,Enterprise,Energy,148100,732,635,2023-09-29,2026-11-12,36,Brittney Cole,67,active,,
ACC-1092,Oakline Media,SMB,Retail,13400,38,28,2023-03-03,2025-09-22,43,Caick Moreira,75,churned,2025-09-22,Lack of adoption
ACC-1093,Cobalt Partners,Mid-Market,Professional Services,24200,182,109,2024-04-26,2026-11-12,29,Shairyar Khan,92,active,,
ACC-1094,Vantage Networks,Mid-Market,Manufacturing,66600,165,46,2024-09-23,2026-10-13,24,Leila Haddad,54,active,,
ACC-1095,Trellis Media,Mid-Market,Retail,44900,75,38,2024-01-27,2026-11-12,32,Leila Haddad,67,active,,
ACC-1096,Windrow Logistics,Mid-Market,Retail,23300,72,19,2023-04-02,2027-01-11,42,Caick Moreira,94,active,,
ACC-1097,Northgate Dynamics,SMB,Energy,5200,37,31,2025-06-20,2027-06-10,15,Brittney Cole,80,active,,
ACC-1098,Wayfarer Systems,Mid-Market,Retail,71700,167,115,2026-01-16,2027-04-11,8,Brittney Cole,90,active,,
ACC-1099,Copperfield Group,SMB,Professional Services,10800,26,15,2023-03-03,2026-07-01,43,Caick Moreira,47,churned,2026-07-01,Other
ACC-1100,Larkspur Group,Enterprise,Financial Services,116500,582,447,2023-02-01,2027-03-12,44,Nuala Byrne,67,active,,
ACC-1101,Silverbrook Technologies,Enterprise,Education,323300,731,581,2025-08-19,2026-01-16,13,Leila Haddad,58,churned,2026-01-16,
ACC-1102,Bluestem Software,Enterprise,Retail,282000,875,508,2024-01-27,2026-10-13,32,Shairyar Khan,67,active,,
ACC-1103,Halcyon Networks,SMB,Media,14000,8,4,2026-01-16,2027-06-10,8,Leila Haddad,69,active,,
ACC-1104,Fairhaven Solutions,Mid-Market,Financial Services,29100,35,7,2023-09-29,2027-03-12,36,Brittney Cole,90,active,,
ACC-1105,Dunmore Group,Mid-Market,Energy,43200,106,72,2024-11-22,2026-10-13,22,Brittney Cole,95,active,,
ACC-1106,Ferncliff Capital,Mid-Market,Financial Services,77900,174,112,2022-12-03,2027-03-12,46,Caick Moreira,50,active,,
ACC-1107,Tallgrass Health,Mid-Market,Media,58600,104,88,2024-05-26,2027-08-09,28,Brittney Cole,89,active,,
ACC-1108,Quarry Systems,Mid-Market,Financial Services,77100,107,36,2025-06-20,2027-05-11,15,Nuala Byrne,57,active,,
ACC-1109,Clearpoint Holdings,SMB,Financial Services,3600,24,15,2023-08-30,2027-07-10,37,Nuala Byrne,53,active,,
ACC-1110,Vantage Software,Enterprise,Education,296400,303,239,2024-06-25,2027-07-10,27,Nuala Byrne,63,active,,
ACC-1111,Alderwood Technologies,Mid-Market,Financial Services,79100,138,82,2023-06-01,2027-04-11,40,Nuala Byrne,77,active,,
ACC-1112,Quarry Robotics,SMB,Professional Services,17500,21,5,2023-08-30,2026-06-03,37,Brittney Cole,54,churned,2026-06-03,Lack of adoption
ACC-1113,Stonebridge Systems,Mid-Market,Energy,50100,80,27,2024-04-26,2026-11-12,29,Brittney Cole,68,active,,
ACC-1114,Tallgrass Dynamics,Mid-Market,Media,74400,24,22,2026-05-16,2026-12-12,4,Shairyar Khan,80,active,,
ACC-1115,Pinecrest Industries,Enterprise,Education,214300,872,750,2025-02-20,2026-11-12,19,Owen Trask,52,active,,
ACC-1116,Pinecrest Partners,Mid-Market,Media,56900,81,58,2026-05-16,2026-12-12,4,Caick Moreira,87,active,,
ACC-1117,Eastbrook Holdings,SMB,Energy,12400,27,12,2023-09-29,2026-10-13,36,Caick Moreira,85,active,,
ACC-1118,Ironvale Networks,Mid-Market,Media,57700,168,31,2022-12-03,2027-03-12,46,Caick Moreira,53,active,,
ACC-1119,Alderwood Group,SMB,Retail,15200,32,13,2026-01-16,2026-06-15,8,Owen Trask,24,churned,2026-06-15,Price
ACC-1120,Kestrel Technologies,Mid-Market,Education,71900,104,94,2026-02-15,2027-03-12,7,Shairyar Khan,72,active,,
ACC-1121,Beacon Hill Dynamics,Mid-Market,Financial Services,36000,41,27,2023-08-30,2026-11-12,37,Owen Trask,72,active,,
